iter	Passed	Remaining
0	2	1003
1	4	874
2	6	819
3	8	792
4	9	787
5	11	781
6	13	772
7	15	772
8	17	764
9	19	760
10	21	756
11	23	754
12	25	749
13	27	746
14	28	744
15	30	739
16	32	736
17	34	731
18	36	725
19	38	723
20	39	719
21	41	717
22	43	713
23	45	712
24	47	709
25	49	707
26	50	703
27	52	703
28	54	701
29	56	698
30	58	695
31	60	693
32	62	691
33	63	688
34	65	685
35	67	683
36	69	681
37	71	679
38	73	676
39	74	674
40	76	673
41	78	670
42	80	667
43	82	664
44	83	662
45	86	663
46	88	662
47	90	661
48	92	660
49	94	658
50	95	656
51	97	655
52	99	653
53	101	652
54	103	650
55	106	654
56	108	653
57	110	652
58	112	650
59	114	649
60	116	647
61	118	645
62	120	643
63	123	648
64	132	685
65	136	692
66	140	700
67	143	700
68	145	698
69	147	696
70	149	692
71	151	689
72	153	686
73	156	688
74	158	685
75	159	681
76	161	678
77	163	674
78	165	671
79	166	667
80	168	665
81	170	662
82	172	659
83	174	657
84	176	654
85	178	651
86	180	648
87	182	645
88	183	642
89	185	639
90	187	636
91	189	635
92	191	632
93	193	629
94	195	626
95	196	623
96	198	621
97	200	618
98	202	616
99	204	614
100	206	611
101	208	609
102	210	606
103	212	603
104	214	601
105	215	598
106	218	599
107	220	596
108	222	594
109	224	592
110	226	589
111	228	586
112	230	584
113	231	581
114	233	579
115	235	576
116	237	574
117	239	571
118	241	569
119	242	566
120	245	565
121	246	562
122	248	560
123	250	557
124	252	555
125	254	553
126	256	550
127	258	548
128	259	545
129	261	543
130	263	541
131	265	538
132	267	536
133	269	534
134	271	531
135	272	529
136	274	527
137	276	525
138	278	522
139	280	520
140	281	517
141	284	517
142	286	515
143	288	512
144	290	510
145	292	508
146	294	506
147	295	503
148	299	504
149	307	513
150	311	514
151	314	513
152	316	511
153	319	509
154	321	507
155	322	505
156	325	503
157	326	500
158	328	498
159	330	495
160	332	493
161	334	490
162	335	488
163	337	485
164	339	483
165	341	480
166	342	478
167	344	475
168	346	473
169	348	471
170	350	469
171	352	466
172	353	464
173	355	462
174	357	459
175	359	457
176	361	455
177	363	453
178	365	451
179	367	448
180	377	456
181	381	457
182	384	456
183	387	454
184	389	452
185	391	450
186	393	448
187	395	445
188	397	443
189	399	441
190	400	438
191	402	436
192	404	433
193	406	431
194	408	429
195	410	427
196	412	424
197	414	422
198	415	420
199	417	417
200	419	415
201	421	412
202	423	410
203	424	408
204	426	405
205	428	403
206	430	401
207	432	399
208	434	396
209	436	394
210	438	392
211	439	389
212	441	387
213	443	385
214	445	383
215	447	381
216	449	378
217	450	376
218	452	374
219	454	372
220	456	370
221	458	367
222	460	365
223	462	363
224	464	361
225	466	359
226	468	356
227	470	354
228	471	352
229	473	350
230	476	348
231	478	346
232	480	344
233	482	342
234	484	339
235	485	337
236	487	335
237	489	333
238	494	333
239	502	334
240	505	333
241	509	332
242	511	330
243	513	328
244	516	327
245	518	324
246	520	322
247	523	320
248	525	318
249	527	316
250	529	314
251	531	312
252	533	309
253	534	307
254	536	305
255	538	302
256	540	300
257	542	298
258	544	296
259	546	294
260	548	292
261	550	289
262	552	287
263	553	285
264	555	283
265	558	281
266	560	279
267	561	276
268	563	274
269	565	272
270	567	270
271	569	267
272	572	266
273	574	264
274	576	262
275	578	259
276	580	257
277	582	255
278	584	253
279	585	251
280	590	249
281	598	250
282	602	248
283	605	247
284	607	245
285	609	243
286	612	240
287	614	238
288	615	236
289	617	234
290	620	232
291	622	230
292	624	227
293	626	225
294	627	223
295	630	221
296	631	219
297	633	216
298	635	214
299	637	212
300	639	210
301	641	208
302	643	206
303	645	203
304	647	201
305	649	199
306	652	197
307	662	197
308	666	196
309	670	194
310	673	192
311	675	190
312	677	188
313	679	186
314	681	183
315	682	181
316	684	179
317	686	177
318	688	174
319	690	172
320	692	170
321	694	168
322	696	166
323	698	163
324	700	161
325	702	159
326	711	158
327	715	157
328	718	155
329	720	152
330	723	150
331	725	148
332	727	146
333	729	144
334	730	141
335	732	139
336	734	137
337	736	135
338	738	132
339	740	130
340	742	128
341	744	126
342	746	123
343	748	121
344	750	119
345	759	118
346	763	116
347	766	114
348	768	112
349	771	110
350	773	107
351	775	105
352	777	103
353	778	101
354	780	98
355	782	96
356	784	94
357	785	92
358	787	89
359	789	87
360	791	85
361	793	83
362	795	81
363	798	78
364	799	76
365	801	74
366	803	72
367	805	70
368	807	67
369	809	65
370	811	63
371	814	61
372	822	59
373	826	57
374	829	55
375	831	53
376	833	50
377	836	48
378	837	46
379	839	44
380	841	41
381	843	39
382	845	37
383	847	35
384	849	33
385	850	30
386	852	28
387	854	26
388	856	24
389	858	22
390	860	19
391	862	17
392	864	15
393	866	13
394	868	10
395	870	8
396	872	6
397	874	4
398	876	2
399	880	0
